BetaShares Portfolio Holdings,,,,,,,,,,
,,,,,,,,,,
Fund Name,BetaShares Australia 200 ETF,,,,,,,,,
Fund ASX Code,A200,,,,,,,,,
Date,2023-02-17,,,,,,,,,
,,,,,,,,,,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
CTD AT,B3R1D52,CORPORATE TRAVEL MANAGEMENT LT,Equities,Consumer Discretionary,Australia,AUD,0.001007,149575,2707307.5,2707307.5
LTR AT,B1J89V5,LIONTOWN RESOURCES LTD,Equities,Materials,Australia,AUD,0.001001,2000211,2690283.795,2690283.795
NUF AT,6335331,NUFARM LTD/AUSTRALIA,Equities,Materials,Australia,AUD,0.000996,464008,2677326.16,2677326.16
IFL AT,6714394,IOOF HOLDINGS LTD,Equities,Financials,Australia,AUD,0.000983,765507,2640999.15,2640999.15
BAP AT,BLD2CY7,BAPCOR LTD,Equities,Consumer Discretionary,Australia,AUD,0.000969,411527,2604965.91,2604965.91
BRG AT,6158709,BREVILLE GROUP LTD,Equities,Consumer Discretionary,Australia,AUD,0.000945,121250,2541400,2541400
DRR AT,BJP5T05,DETERRA ROYALTIES LTD,Equities,Materials,Australia,AUD,0.000941,527896,2528621.84,2528621.84
PDN AT,6668468,PALADIN ENERGY LTD,Equities,Energy,Australia,AUD,0.000939,3297784,2522804.76,2522804.76
SUL AT,B01C7R0,SUPER RETAIL GROUP LTD,Equities,Consumer Discretionary,Australia,AUD,0.000911,189806,2448497.4,2448497.4
HUB AT,BD4T5X1,HUB24 LTD,Equities,Financials,Australia,AUD,0.000899,90338,2417444.88,2417444.88
BKW AT,6315593,BRICKWORKS LTD,Equities,Materials,Australia,AUD,0.000891,97243,2395095.09,2395095.09
BWP AT,6127453,BWP TRUST,Equities,Real Estate,Australia,AUD,0.00088,600271,2365067.74,2365067.74
HDN AT,BNC0NF4,HOMECO DAILY NEEDS REIT,Equities,Real Estate,Australia,AUD,0.000866,1790933,2328212.9,2328212.9
IPH AT,BS7K5S1,IPH LTD,Equities,Industrials,Australia,AUD,0.000862,272783,2315927.67,2315927.67
